"rk",tier,"name",team,"pos","bye","sos","vs"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","+2"
"3",1,"Justin Jefferson",MIN,"WR2","6","2 out of 5 stars","-1"
"4",1,"CeeDee Lamb",DAL,"WR3","10","2 out of 5 stars","+1"
"5",2,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","+1"
"6",2,"Puka Nacua",LAR,"WR4","8","3 out of 5 stars","+1"
"7",2,"Amon-Ra St. Brown",DET,"WR5","8","3 out of 5 stars","+5"
"8",2,"Malik Nabers",NYG,"WR6","14","2 out of 5 stars","0"
"9",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-6"
"10",2,"Nico Collins",HOU,"WR7","6","4 out of 5 stars","0"
"11",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+2"
"12",3,"Drake London",ATL,"WR9","5","3 out of 5 stars","+3"
"13",3,"Ashton Jeanty",LV,"RB4","8","2 out of 5 stars","-2"
"14",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+2"
"15",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","+3"
"16",3,"De'Von Achane",MIA,"RB5","12","4 out of 5 stars","+1"
"17",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+2"
"18",3,"Christian McCaffrey",SF,"RB6","14","3 out of 5 stars","-9"
"19",3,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+12"
"20",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+5"
"21",4,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-7"
"22",4,"Garrett Wilson",NYJ,"WR13","9","4 out of 5 stars","+2"
"23",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","+13"
"24",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","+11"
"25",4,"Tee Higgins",CIN,"WR14","10","3 out of 5 stars","-2"
"26",4,"Bucky Irving",TB,"RB8","9","3 out of 5 stars","-4"
"27",4,"Tyreek Hill",MIA,"WR15","12","3 out of 5 stars","+3"
"28",4,"Chase Brown",CIN,"RB9","10","4 out of 5 stars","+1"
"29",4,"Rashee Rice",KC,"WR16","10","3 out of 5 stars","-8"
"30",4,"Josh Jacobs",GB,"RB10","5","4 out of 5 stars","-4"
"31",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","+8"
"32",4,"Davante Adams",LAR,"WR17","8","3 out of 5 stars","-4"
"33",4,"Mike Evans",TB,"WR18","9","3 out of 5 stars","+4"
"34",5,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-14"
"35",5,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","-3"
